Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,33,593,407,403,158,0.0006984748059092,0.003906285272289,0.0318799240541599,0.0740427703585172,0.196088118410875
2000,1,27,264,209,304,234,0.0006206241795958,0.001787820363597,0.0190070001363731,0.0616597327204528,0.2102607220858
2000,1,60,857,616,707,392,0.000661154199348,0.0028616987578656,0.0259230848186065,0.0681571637009229,0.204308810401494
2000,2,36,589,387,344,142,0.0007619725155373,0.003879935961852,0.0303133430195574,0.0632027617948633,0.176231093761672
2000,2,21,256,225,316,197,0.0004827076952412,0.0017336439889425,0.020462081486526,0.0640936695383654,0.177014368593601
2000,2,57,845,612,660,339,0.0006280964893806,0.0028216282968453,0.0257547530990052,0.0636262065666324,0.1766854253217
2000,3,29,614,400,402,141,0.0006138111930717,0.0040446191520834,0.031331620692049,0.0738590413998112,0.174990029721097
2000,3,34,241,202,281,161,0.0007815267446762,0.0016320632864654,0.0183704020456811,0.0569946871527869,0.144666565195785
2000,3,63,855,602,683,302,0.0006942119093154,0.0028550203476955,0.0253339238000018,0.0658434834621362,0.157401175360335
2000,4,34,625,466,407,158,0.0007196407091186,0.0041170797557852,0.0365013381062371,0.0747776861933411,0.196088118410875
2000,4,24,243,223,293,171,0.0005516659374185,0.001645607380129,0.0202801963177569,0.0594286239706995,0.153652066139623
2000,4,58,868,689,700,329,0.0006391157260364,0.0028984300138008,0.028995138701331,0.0674823402979434,0.171473465872683
2000,5,31,589,412,436,188,0.0006561429994905,0.003879935961852,0.0322715693128105,0.0801058259958151,0.233320039628129
2000,5,22,235,239,307,228,0.0005056937759669,0.0015914310054746,0.0217352776679099,0.0622682169249309,0.204869421519497
2000,5,53,824,651,743,416,0.0005840195427574,0.0027515049900598,0.0273959873651182,0.0716276840591028,0.216817513079137
2000,6,39,661,450,421,157,0.0008254702251655,0.0043542235497185,0.0352480732785552,0.0773498916152251,0.1948470543703
2000,6,36,273,249,298,237,0.0008274989061277,0.0018487687850832,0.0226447035117555,0.0604427643114965,0.212956372368951
2000,6,75,934,699,719,394,0.0008264427491851,0.0031188175494124,0.0294159680003343,0.0693140038203162,0.205351202291298
2000,7,28,587,463,426,186,0.0005926452898624,0.0038667613066335,0.0362663509510467,0.0782685364087551,0.230837911546979
2000,7,27,269,261,298,194,0.0006206241795958,0.001821680597756,0.0237360145243702,0.0604427643114965,0.174318718310449
2000,7,55,856,724,724,380,0.000606058016069,0.0028583595527805,0.0304680412478427,0.06979602053673,0.198054459062673
2000,8,28,572,439,425,159,0.0005926452898624,0.0037679513924946,0.0343864537095238,0.0780848074500491,0.19732918245145
2000,8,31,245,214,309,203,0.0007125685024989,0.0016591514737926,0.0194617130582959,0.0626738730612497,0.182405669159903
2000,8,59,817,653,734,362,0.0006501349626922,0.0027281305544646,0.0274801532249189,0.0707600539695578,0.188672932054441
2000,9,42,584,459,491,191,0.0008889679347936,0.0038469993238057,0.0359530347441263,0.090210918724645,0.237043231749855
2000,9,25,266,236,333,237,0.0005746520181442,0.0018013644572606,0.0214624499147562,0.0675417466970749,0.212956372368951
2000,9,67,850,695,824,428,0.0007382888559387,0.0028383243222704,0.029247636280733,0.0794363548650077,0.223071864417958
2000,10,51,623,379,403,171,0.0010794610636779,0.0041039051005667,0.0296867106057165,0.0740427703585172,0.212221950938352
2000,10,32,244,217,283,201,0.0007355545832246,0.0016523794269608,0.0197345408114495,0.0574003432891057,0.180608568971136
2000,10,83,867,596,686,372,0.0009145966424315,0.0028950908087158,0.0250814262205998,0.0661326934919845,0.193884891503459
2000,11,30,573,414,331,160,0.0006349770962811,0.0037745387201039,0.0324282274162707,0.0608142853316853,0.198570246492025
2000,11,33,268,220,271,197,0.0007585406639504,0.0018149085509242,0.0200073685646032,0.0549664064711931,0.177014368593601
2000,11,63,841,634,602,357,0.0006942119093154,0.0028082714765052,0.0266805775568125,0.0580348126562313,0.186066952329932
2000,12,37,567,415,412,165,0.0007831384187467,0.0037350147544483,0.0325065564680009,0.0756963309868711,0.204775566694901
2000,12,30,284,193,300,207,0.0006895824217731,0.0019232613002331,0.0175519187862201,0.0608484204478152,0.185999869537438
2000,12,67,851,608,712,372,0.0007382888559387,0.0028416635273554,0.0255864213794038,0.0686391804173367,0.193884891503459
2000,13,30,569,428,415,169,0.0006349770962811,0.0037481894096669,0.0335248341404925,0.0762475178629891,0.209739822857202
2000,13,27,260,223,297,222,0.0006206241795958,0.0017607321762697,0.0202801963177569,0.0602399362433371,0.199478120953195
2000,13,57,829,651,712,391,0.0006280964893806,0.0027682010154849,0.0273959873651182,0.0686391804173367,0.203787614456592
2000,14,40,594,419,406,154,0.0008466361283748,0.0039128725998983,0.0328198726749214,0.0745939572346351,0.191123862248574
2000,14,26,255,218,264,189,0.00059763809887,0.0017268719421107,0.0198254833958341,0.0535466099940774,0.169825967838531
2000,14,66,849,637,670,343,0.0007272696192829,0.0028349851171854,0.0268068263465135,0.0645902399994601,0.178770209101307
