Method,Category,Comparison level,MAE,RMSE,Pearson,R2,Time(s)
SeqSGriteMinerANN / TransformerRegressor,Proposed hybrid model,Gradual sequential prediction,0.0027535853441804647,0.003311069191803945,0.9999894446785919,0.9994805455207825,
SGrite patterns + Random Forest,Hybrid ML baseline,Pattern-to-regression,0.011400792471151848,0.03550345604573575,0.7145495265903556,0.523167284506764,293.4104220867157
SGrite patterns + Ridge,Simple hybrid baseline,Pattern-to-regression,0.025307038862200402,0.06252438414416905,0.3434413036698212,0.06521992850848653,10.343417882919312
Mean Predictor,Naive baseline,Prediction,0.02645927108824253,0.06481463743950652,,-6.198883056640625e-05,0.0004911422729492188
