patterns,Supp X,Supp Y,Supp Z
(7+)(2+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(7+)(4+5+),0.4,0.05,0.66
(7+)(0+9+),0.4,0.06,0.66
(7+)(5+6+7+),0.4,0.06,0.66
(7+)(0+2+3+),0.4,0.05,0.66
(1+4+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(3+4+)(4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.07,0.66
(3+4+)(5+8+),0.4,0.06,0.66
(3+4+)(4+5+),0.4,0.05,0.66
(3+4+)(2+4+8+)(2+3+4+8+),0.5,0.06,0.67
(3+4+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(3+4+)(5+6+7+),0.4,0.06,0.66
(3+4+)(0+2+3+),0.4,0.05,0.66
(2+7+)(4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.1,0.67
(2+7+)(4+7+8+)(2+4+7+8+)(3+4+7+8+),0.4,0.05,0.66
(2+7+)(5+8+),0.4,0.06,0.66
(2+7+)(2+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(2+7+)(4+5+),0.4,0.05,0.66
(2+7+)(2+4+8+)(2+3+4+8+),0.5,0.06,0.67
(2+7+)(5+6+7+),0.4,0.06,0.66
(2+7+)(0+2+3+),0.4,0.05,0.66
(0+5+8+)(2+4+8+)(2+3+4+8+),0.5,0.07,0.67
(0+5+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(0+5+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.05,0.66
(2+3+4+7+8+),1.0,0.11,0.69
(7+8+)(4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.07,0.66
(7+8+)(2+4+8+)(2+3+4+8+),0.5,0.06,0.67
(7+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(7+8+)(5+6+7+),0.4,0.06,0.66
(7+8+)(0+2+3+),0.4,0.05,0.66
(1+3+4+8+)(2+3+7+8+),0.4,0.07,0.66
(3+8+9+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.06,0.66
(3+5-)(4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.06,0.66
(3+5-)(5+8+),0.4,0.06,0.66
(3+5-)(4+5+),0.4,0.05,0.66
(3+5-)(2+4+8+)(2+3+4+8+),0.5,0.06,0.67
(3+5-)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(3+5-)(5+6+7+),0.4,0.06,0.66
(3+5-)(0+2+3+),0.4,0.05,0.66
(2+3+9+)(2+4+8+)(2+3+4+8+),0.4,0.06,0.66
(2+3+9+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(2+3+9+)(4+7+8+)(3+4+7+8+),0.4,0.05,0.66
(2+3+9+)(2+3+4+7+8+),0.4,0.06,0.66
(2+4+6+),0.5,0.06,0.67
(2+4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.06,0.66
(4+7+9+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.06,0.66
(1+4+9+)(2+4+8+)(2+3+4+8+),0.5,0.08,0.67
(1+4+9+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(1+4+9+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.05,0.66
(1+5+6+)(2+4+8+)(2+3+4+8+),0.5,0.08,0.67
(1+5+6+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(1+5+6+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.05,0.66
(8+)(4+7+8+)(2+4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.05,0.66
(8+)(5+8+),0.4,0.06,0.66
(8+)(2+8+)(2+3+8+)(2+7+8+)(3+7+8+)(2+3+7+8+),0.4,0.07,0.66
(8+)(4+5+),0.4,0.05,0.66
(8+)(0+9+),0.4,0.06,0.66
(8+)(5+6+7+),0.4,0.06,0.66
(8+)(0+2+3+),0.4,0.05,0.66
(1+6+7+8+),0.5,0.05,0.67
(0+1+5+)(4+7+8+)(3+4+7+8+)(2+3+4+7+8+),0.4,0.06,0.66
