patterns,Supp X,Supp Y,Supp Z
(3+6+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(3+6+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(3+6+)(5+9+)(8+9+),0.4,0.07,0.66
(3+6+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(1+4-6+)(6+7+8+),0.4,0.08,0.67
(1+4-6+)(2+4+8+)(2+3+4+8+),0.5,0.05,0.67
(1+4-6+)(1+3+4+6+8+),0.4,0.05,0.66
(1+4-6+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(1+4-6+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+4-6+)(7+8+9+),0.4,0.05,0.66
(1+4-6+)(2+7+9+),0.4,0.05,0.66
(2+9+)(6+7+8+),0.4,0.1,0.67
(2+9+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(2+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(2+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+9+)(7+8+9+),0.4,0.05,0.66
(2+9+)(8+9+)(2+7+9+),0.4,0.07,0.66
(2+9+)(2+3+4+7+8+),0.4,0.06,0.66
(2+9+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(2+9+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(2+9+)(5+9+)(8+9+),0.4,0.07,0.66
(2+9+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(1+3+4+6+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.05,0.66
(1+3+4+6+)(1+4+6+9+),0.4,0.05,0.66
(1+3+4+6+)(3+4+8+9+),0.4,0.06,0.66
(1+4+6+7+),0.7,0.07,0.68
(2+3+7+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.67
(2+3+7+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+3+7+)(7+8+9+),0.4,0.05,0.66
(2+3+7+)(2+4+8+)(2+3+4+8+),0.5,0.05,0.67
(2+3+7+)(2+7+9+),0.4,0.06,0.66
(2+3+7+)(2+4+7+8+),0.4,0.05,0.66
(2+3+7+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+4+8+9+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.07,0.66
(5+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(5+9+)(7+8+9+),0.4,0.06,0.66
(5+9+)(2+3+4+),0.4,0.06,0.66
(5+9+)(6+9+),0.4,0.06,0.66
(1+2+4+6+)(1+4+6+9+),0.4,0.07,0.66
(1+2+4+6+)(2+3+4+8+),0.4,0.06,0.66
(5+9-)(2+3+4+8+),0.4,0.05,0.66
(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(1+3+6+)(6+7+8+),0.4,0.11,0.67
(1+3+6+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(1+3+6+)(2+4+8+)(2+3+4+8+),0.5,0.05,0.67
(1+3+6+)(1+3+4+6+8+),0.4,0.05,0.66
(1+3+6+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(1+3+6+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+3+6+)(7+8+9+),0.4,0.05,0.66
(1+3+6+)(2+7+9+),0.4,0.05,0.66
(2+8+9+),0.5,0.05,0.67
(1+2+9+),0.5,0.05,0.67
(2+)(6+7+8+),0.4,0.37,0.68
(2+)(2+9+)(8+9+),0.4,0.11,0.67
(2+)(2+9+)(6+9+),0.4,0.09,0.67
(2+)(2+4+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(2+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(2+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(2+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(2+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+)(7+8+9+),0.4,0.05,0.66
(2+)(8+9+)(2+7+9+),0.4,0.07,0.66
(2+)(2+3+4+7+8+),0.4,0.06,0.66
(2+)(5+9+)(8+9+),0.4,0.06,0.66
(3+7-)(1+4-6+),0.4,0.06,0.66
(3+7-)(7+8+9+),0.4,0.05,0.66
(3+7-)(2+3+4+),0.4,0.05,0.66
(3+7-)(1+2+3+6+),0.4,0.06,0.66
(3+7+)(6+7+8+),0.4,0.11,0.67
(3+7+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(3+7+)(1+3+4+6+8+),0.4,0.05,0.66
(3+7+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+7+)(7+8+9+),0.4,0.05,0.66
(3+7+)(8+9+)(2+7+9+),0.4,0.07,0.66
(3+7+)(2+3+4+7+8+),0.4,0.06,0.66
(3+7+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(3+7+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(3+7+)(5+9+)(8+9+),0.4,0.07,0.66
(3+7+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(2+3+6+7+),0.6,0.06,0.67
(2+3+4+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(2+3+4+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+3+4+)(2+4+8+)(2+3+4+8+),0.5,0.05,0.67
(2+3+4+)(2+7+9+),0.4,0.06,0.66
(2+3+4+)(2+4+7+8+),0.4,0.05,0.66
(2+3+4+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(2+3+)(6+7+8+),0.4,0.14,0.67
(2+3+)(2+9+)(8+9+),0.4,0.08,0.67
(2+3+)(2+9+)(6+9+),0.4,0.07,0.66
(2+3+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(2+3+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(2+3+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+3+)(7+8+9+),0.4,0.05,0.66
(2+3+)(8+9+)(2+7+9+),0.4,0.07,0.66
(2+3+)(2+9-),0.4,0.06,0.66
(2+3+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(2+3+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(2+3+)(2+4+7+8+),0.4,0.05,0.66
(2+3+)(5+9+)(8+9+),0.4,0.07,0.66
(2+3+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(2+7+8+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.67
(2+7+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+7+8+)(7+8+9+),0.4,0.05,0.66
(2+7+8+)(2+3+4+8+),0.5,0.05,0.67
(2+7+8+)(2+7+9+),0.4,0.05,0.66
(2+7+8+)(2+4+7+8+),0.4,0.05,0.66
(2+7+8+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(2+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(2+4+9+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+4+9+)(2+3+4+8+),0.5,0.05,0.67
(2+4+9+)(2+7+9+),0.4,0.05,0.66
(2+4+9+)(2+4+7+8+),0.4,0.05,0.66
(2+4+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(7+8+9+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.05,0.66
(7+8+9+)(1+4+6+9+),0.4,0.05,0.66
(7+8+9+)(3+4+8+9+),0.4,0.06,0.66
(4+6+9+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.05,0.66
(4+6+9+)(7+8+9+),0.4,0.05,0.66
(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(4+6+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(6+7+)(6+7+8+),0.4,0.13,0.67
(6+7+)(1+4+6+8+)(3+4+6+8+),0.4,0.06,0.66
(6+7+)(1+3+4+6+8+),0.4,0.05,0.66
(6+7+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(6+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(6+7+)(7+8+9+),0.4,0.05,0.66
(6+7+)(8+9+)(2+7+9+),0.4,0.07,0.66
(6+7+)(2+3+4+7+8+),0.4,0.06,0.66
(6+7+)(6+9+)(8+9+),0.4,0.07,0.66
(6+7+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(1+2+4+7+),0.7,0.07,0.68
(1+3+7+),0.6,0.06,0.67
(2+7+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(2+7+9+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+7+9+)(2+3+4+8+),0.5,0.05,0.67
(2+7+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+)(6+7+8+),0.4,0.39,0.68
(3+)(2+9+)(8+9+),0.4,0.11,0.67
(3+)(2+9+)(6+9+),0.4,0.09,0.67
(3+)(2+4+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(3+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(3+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(3+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(3+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+)(7+8+9+),0.4,0.05,0.66
(3+)(8+9+)(2+7+9+),0.4,0.07,0.66
(3+)(2+3+4+7+8+),0.4,0.06,0.66
(3+)(5+9+)(8+9+),0.4,0.06,0.66
(1+6+)(6+7+8+),0.4,0.23,0.67
(1+6+)(2+9+)(8+9+),0.4,0.09,0.67
(1+6+)(2+9+)(6+9+),0.4,0.08,0.66
(1+6+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(1+6+)(1+3+4+6+8+),0.4,0.05,0.66
(1+6+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(1+6+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+6+)(7+8+9+),0.4,0.05,0.66
(1+6+)(8+9+)(2+7+9+),0.4,0.07,0.66
(1+6+)(2+9-),0.4,0.06,0.66
(1+6+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(1+6+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(1+6+)(2+4+7+8+),0.4,0.05,0.66
(1+6+)(5+9+)(8+9+),0.4,0.07,0.66
(1+6+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(3+8+)(6+7+8+),0.4,0.25,0.67
(3+8+)(1+4+6+8+)(3+4+6+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(3+8+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+8+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+8+)(7+8+9+),0.4,0.05,0.66
(3+8+)(8+9+)(2+7+9+),0.4,0.07,0.66
(3+8+)(2+3+4+7+8+),0.4,0.06,0.66
(3+8+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(3+8+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(3+8+)(5+9+)(8+9+),0.4,0.07,0.66
(3+8+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(3+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.66
(3+4+9+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(3+4+9+)(7+8+9+),0.4,0.05,0.66
(3+4+9+)(2+3+4+8+),0.5,0.05,0.67
(3+4+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(8+9+)(6+7+8+),0.4,0.12,0.67
(8+9+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(8+9+)(2+4+8+)(2+3+4+8+),0.5,0.05,0.67
(8+9+)(1+3+4+6+8+),0.4,0.05,0.66
(8+9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(8+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(8+9+)(7+8+9+),0.4,0.05,0.66
(8+9+)(2+7+9+),0.4,0.05,0.66
