patterns,Supp X,Supp Y,Supp Z
(1+7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+7+)(6+9-),0.5,0.06,0.67
(2+4+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(2+4+7+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+4+7+9+),1.0,0.13,0.69
(4+7+8+),0.7,0.08,0.68
(6+9-)(1+3+4+6+),0.4,0.07,0.66
(6+9-)(6+9+),0.4,0.06,0.66
(6+9-)(1+2+8+),0.4,0.05,0.66
(6+9-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+4+6+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+4+6+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(5+)(1+3+4+6+),0.4,0.09,0.67
(5+)(4+6-),0.4,0.07,0.66
(5+)(6+9+),0.4,0.07,0.66
(5+)(1+9+),0.4,0.06,0.66
(5+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(5+)(6+9-),0.5,0.06,0.67
(5+)(1+2+8+),0.4,0.05,0.66
(1+8-)(1+3+4+6+),0.4,0.08,0.66
(1+8-)(4+6-),0.4,0.05,0.66
(1+8-)(6+9+),0.4,0.06,0.66
(1+8-)(1+9+),0.4,0.06,0.66
(1+8-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+8-)(6+9-),0.5,0.06,0.67
(1+8+)(1+3+4+6+),0.4,0.1,0.67
(1+8+)(4+6-),0.4,0.05,0.66
(1+8+)(6+9+),0.4,0.06,0.66
(1+8+)(1+9+),0.4,0.06,0.66
(1+8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+8+)(6+9-),0.5,0.06,0.67
(6+9+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(6+9+)(1+2+8+),0.4,0.05,0.66
(6+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+4+7+)(1+3+4+6+),0.4,0.07,0.66
(2+6-)(3+6+)(1+3+6+),0.4,0.07,0.66
(2+6-)(6+8+9+),0.4,0.05,0.66
(2+6-)(1+3+8+),0.4,0.06,0.66
(2+6-)(6+9-),0.5,0.05,0.67
(2+4+8+),0.7,0.08,0.68
(6+)(1+3+4+6+),0.4,0.33,0.67
(6+)(4+6-),0.4,0.19,0.67
(6+)(6+9+),0.4,0.13,0.67
(6+)(1+9+),0.4,0.09,0.67
(6+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(6+)(6+9-),0.5,0.06,0.67
(6+)(1+2+8+),0.4,0.05,0.66
(1+4+7+),0.6,0.06,0.67
(1+9-)(1+3+4+6+),0.4,0.06,0.66
(1+9-)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+9-)(1+3+8+),0.4,0.06,0.66
(2+6+)(1+3+4+6+),0.4,0.1,0.67
(2+6+)(4+6-),0.4,0.05,0.66
(2+6+)(6+9+),0.4,0.06,0.66
(2+6+)(1+2+8+),0.4,0.05,0.66
(2+6+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+6+)(6+9-),0.5,0.06,0.67
(3+4+6+)(1+3+4+6+),0.4,0.07,0.66
(1+9+)(1+3+4+6+),0.4,0.09,0.67
(1+9+)(4+6-),0.4,0.05,0.66
(1+9+)(6+9+),0.4,0.06,0.66
(1+9+)(1+2+8+),0.4,0.05,0.66
(1+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+9+)(6+9-),0.5,0.06,0.67
(2+3+7+8+),1.0,0.15,0.69
(2+3+8+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(2+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(7+)(1+3+4+6+),0.4,0.36,0.68
(7+)(4+6-),0.4,0.2,0.67
(7+)(6+9+),0.4,0.14,0.67
(7+)(1+9+),0.4,0.1,0.67
(7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(7+)(6+9-),0.5,0.06,0.67
(7+)(1+2+8+),0.4,0.05,0.66
(3+4+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(3+4+)(4+6-),0.4,0.05,0.66
(3+4+)(6+9+),0.4,0.06,0.66
(3+4+)(1+2+8+),0.4,0.05,0.66
(3+4+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+4+)(6+9-),0.5,0.06,0.67
(2+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(2+7+)(4+6-),0.4,0.05,0.66
(2+7+)(6+9+),0.4,0.06,0.66
(2+7+)(1+2+8+),0.4,0.05,0.66
(2+7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+7+)(6+9-),0.5,0.06,0.67
(2+3+4+7+8+),0.7,0.08,0.68
(7+8+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(7+8+)(6+8+9+),0.4,0.05,0.66
(7+8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+8+9+)(1+3+4+6+),0.4,0.09,0.67
(3+8+9+)(1+3+6+8+),0.4,0.08,0.66
(3+8+9+)(6+8+9+),0.4,0.06,0.66
(2+4+6+),0.6,0.06,0.67
(2+4+7+8+),0.7,0.08,0.68
(4+7+9+)(1+3+4+6+),0.4,0.09,0.67
(4+7+9+)(1+3+6+8+),0.4,0.07,0.66
(4+7+9+)(6+8+9+),0.4,0.06,0.66
(1+4+9+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+4+9+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(8+)(3+4+6+)(1+3+4+6+),0.4,0.07,0.66
(8+)(4+6-),0.4,0.05,0.66
(8+)(6+9+),0.4,0.06,0.66
(8+)(1+9+),0.4,0.06,0.66
(8+)(1+8-),0.4,0.05,0.66
(8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(8+)(6+9-),0.5,0.06,0.67
(1+6+7+8+),0.7,0.08,0.68
(2+8-)(4+6-),0.4,0.06,0.66
(2+8-)(6+9-),0.4,0.05,0.66
(2+8+)(1+3+4+6+),0.4,0.1,0.67
(2+8+)(4+6-),0.4,0.05,0.66
(2+8+)(6+9+),0.4,0.06,0.66
(2+8+)(1+2+8+),0.4,0.05,0.66
(2+8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+8+)(6+9-),0.5,0.06,0.67
(7+9+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(7+9+)(1+2+8+),0.4,0.05,0.66
(7+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+8+9+)(1+3+4+6+),0.4,0.09,0.67
(4+8+9+)(1+3+6+8+),0.4,0.08,0.66
(4+8+9+)(6+8+9+),0.4,0.06,0.66
(2+3+6+),0.7,0.08,0.68
