1 1 16.0 767.0 839.0 1530.0 1652.0 0.0002303931141365 0.002574394937095 0.0216476989041903 0.0635658282352255 0.201170779342682
1 1 20.0 376.0 415.0 1240.0 2797.0 0.0003057146619622 0.00127808863684 0.0094850401796322 0.0370432522091414 0.163885932673709
1 1 36.0 1143.0 1254.0 2770.0 4449.0 0.0002669296414081 0.0019303409240263 0.0151981365237984 0.0481371456270775 0.175998136473667
1 2 25.0 833.0 895.0 1649.0 1736.0 0.0003599892408383 0.0027959204466755 0.0230925989502388 0.0685098370979653 0.211399802021123
1 2 19.0 398.0 406.0 1385.0 3119.0 0.000290428928864 0.0013528704187827 0.0092793405130859 0.0413749228303716 0.182753029677975
1 2 44.0 1231.0 1301.0 3034.0 4855.0 0.0003262473394988 0.002078958597967 0.0157677636502884 0.0527249457879253 0.19205910374908
1 3 16.0 817.0 890.0 1657.0 1831.0 0.0002303931141365 0.0027422172928378 0.0229635900175559 0.0688422074416789 0.222968339574123
1 3 16.0 384.0 460.0 1417.0 3295.0 0.0002445717295697 0.0013052820120919 0.0105135385123634 0.0423308777260914 0.193065480214469
1 3 32.0 1201.0 1350.0 3074.0 5126.0 0.0002372707923628 0.0020282934818509 0.0163616302289695 0.0534200670244174 0.202779601610254
1 4 21.0 785.0 873.0 1661.0 1843.0 0.0003023909623042 0.0026348109851624 0.022524959646434 0.0690083926135357 0.224429628528186
1 4 19.0 422.0 437.0 1345.0 3259.0 0.000290428928864 0.0014344505445385 0.0099878615867452 0.0401799792107219 0.190956115332004
1 4 40.0 1207.0 1310.0 3006.0 5102.0 0.0002965884904535 0.0020384265050741 0.0158768411851482 0.0522383609223808 0.2018301848255
1 5 19.0 898.0 878.0 1726.0 1899.0 0.0002735918230371 0.0030140895091412 0.0226539685791169 0.0717089016562087 0.23124897698048
1 5 21.0 372.0 471.0 1428.0 3378.0 0.0003210003950603 0.001264491949214 0.0107649492159199 0.0426594872214951 0.197928738137929
1 5 40.0 1270.0 1349.0 3154.0 5277.0 0.0002965884904535 0.0021448232489181 0.016349510502874 0.0548103094974016 0.208753015547661
1 6 15.0 827.0 921.0 1679.0 1778.0 0.000215993544503 0.0027757817639864 0.0237634454001898 0.0697562258868913 0.216514313360344
1 6 19.0 395.0 398.0 1408.0 3282.0 0.000290428928864 0.0013426729030633 0.0090964963650448 0.0420620154116702 0.192303765118023
1 6 34.0 1222.0 1319.0 3087.0 5060.0 0.0002521002168855 0.0020637590631322 0.015985918720008 0.0536459814262773 0.200168705452182
1 7 18.0 829.0 863.0 1758.0 1862.0 0.0002591922534036 0.0027824946582161 0.0222669417810682 0.0730383830310631 0.226743336038785
1 7 17.0 397.0 435.0 1523.0 3190.0 0.0002598574626678 0.0013494712468763 0.0099421505497349 0.0454974783181632 0.186913165973947
