patterns,Supp X,Supp Y,Supp Z
(1+2+)(5+8-)(6+7+9+),0.44,0.12,0.67
(1+2+)(4+6-),0.44,0.08,0.67
(1+2+)(0+1+3+6+),0.44,0.06,0.67
(0+5+)(5+8-)(6+7+9+),0.44,0.12,0.67
(0+5+)(4+6-),0.44,0.09,0.67
(0+5+)(0+1+3+6+),0.44,0.06,0.67
(2+6+7+)(6+7+9+),0.44,0.12,0.67
(2+6+7+)(0+1+3+6+),0.44,0.08,0.67
(1+2+6+)(6+7+9+),0.44,0.12,0.67
(1+2+6+)(0+1+3+6+),0.44,0.08,0.67
(0+3+4+8+),0.78,0.08,0.68
(1+3+6+7+8+),1.0,0.12,0.69
(1+4+6+9+),1.0,0.15,0.69
(1+2+3+6+8+),1.0,0.12,0.69
(0+6-)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+6-)(4+6-),0.44,0.07,0.67
(0+6-)(0+1+3+6+),0.44,0.05,0.67
(1+3+)(5+8-)(6+7+9+),0.44,0.11,0.67
(1+3+)(4+6-),0.44,0.08,0.67
(1+3+)(0+1+3+6+),0.44,0.06,0.67
(0+6+)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+6+)(4+6-),0.44,0.07,0.67
(0+6+)(0+1+3+6+),0.44,0.06,0.67
(1+3+4+8+9+),0.67,0.08,0.68
(2+6+8+)(6+7+9+),0.44,0.09,0.67
(2+6+8+)(0+1+3+6+),0.44,0.07,0.67
(1+2+7+)(6+7+9+),0.44,0.12,0.67
(1+2+7+)(0+1+3+6+),0.44,0.08,0.67
(1+3+4+)(6+7+9+),0.44,0.1,0.67
(1+3+4+)(0+1+3+6+),0.44,0.07,0.67
(0+)(5+8-)(6+7+9+),0.44,0.17,0.67
(0+)(4+6-),0.44,0.11,0.67
(0+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+4+6+8+),1.0,0.13,0.69
(1+4-)(5+8-)(6+7+9+),0.44,0.08,0.67
(1+4-)(4+6-),0.44,0.07,0.67
(1+4-)(0+1+3+6+),0.44,0.05,0.67
(0+7-)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+7-)(4+6-),0.44,0.07,0.67
(0+7-)(0+1+3+6+),0.44,0.06,0.67
(1+4+)(5+8-)(6+7+9+),0.44,0.1,0.67
(1+4+)(4+6-),0.44,0.07,0.67
(1+4+)(0+1+3+6+),0.44,0.06,0.67
(0+2+3+7+),0.44,0.05,0.67
(0+1+2+)(6+7+9+),0.44,0.09,0.67
(0+1+2+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+2+8+)(6+7+9+),0.44,0.09,0.67
(1+2+8+)(0+1+3+6+),0.44,0.07,0.67
(0+7+)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+7+)(4+6-),0.44,0.07,0.67
(0+7+)(0+1+3+6+),0.44,0.06,0.67
(1+)(5+8-)(6+7+9+),0.44,0.28,0.67
(1+)(4+6-),0.44,0.17,0.67
(1+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+4-6+)(6+7+9+),0.44,0.09,0.67
(1+4-6+)(0+1+3+6+),0.44,0.07,0.67
(2+4+7+8+9+),0.89,0.1,0.68
(1+3+4+6+),1.0,0.13,0.69
(1+4+6+7+),1.0,0.11,0.69
(1+5-),0.67,0.08,0.68
(0+8-)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+8-)(4+6-),0.44,0.07,0.67
(0+8-)(0+1+3+6+),0.44,0.05,0.67
(1+5+)(5+8-)(6+7+9+),0.44,0.08,0.67
(1+5+)(4+6-),0.44,0.07,0.67
(1+5+)(0+1+3+6+),0.44,0.05,0.67
(0+1+3+)(6+7+9+),0.44,0.09,0.67
(0+1+3+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+3+4+6+8+9+),0.67,0.08,0.68
(1+3+6+)(6+7+9+),0.44,0.13,0.67
(1+3+6+)(0+1+3+6+),0.44,0.09,0.67
(1+2+9+)(6+7+9+),0.44,0.08,0.67
(1+2+9+)(0+1+3+6+),0.44,0.06,0.67
(0+8+)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+8+)(4+6-),0.44,0.07,0.67
(0+8+)(0+1+3+6+),0.44,0.06,0.67
(2+)(5+8-)(6+7+9+),0.44,0.28,0.67
(2+)(4+6-),0.44,0.17,0.67
(2+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(3+7+9+)(0+1+3+6+),0.44,0.08,0.67
(3+7+9+)(6+7+9+),0.44,0.07,0.67
(2+3+)(4+6-),0.44,0.17,0.67
(2+3+)(5+8-)(6+7+9+),0.44,0.08,0.67
(2+3+)(0+1+3+6+),0.44,0.06,0.67
(2+4+9+)(6+7+9+),0.44,0.11,0.67
(2+4+9+)(0+1+3+6+),0.44,0.08,0.67
(7+8+9+)(0+1+3+6+),0.44,0.1,0.67
(1+3+7+)(6+7+9+),0.44,0.09,0.67
(1+3+7+)(0+1+3+6+),0.44,0.07,0.67
(3+)(5+8-)(6+7+9+),0.44,0.28,0.67
(3+)(4+6-),0.44,0.17,0.67
(3+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(0+9-)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+9-)(4+6-),0.44,0.07,0.67
(0+9-)(0+1+3+6+),0.44,0.05,0.67
(1+6+)(4+6-),0.44,0.33,0.68
(1+6+)(5+8-)(6+7+9+),0.44,0.1,0.67
(1+6+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(0+9+)(5+8-)(6+7+9+),0.44,0.08,0.67
(0+9+)(4+6-),0.44,0.07,0.67
(0+9+)(0+1+3+6+),0.44,0.05,0.67
(1+4+6+8+9+),0.67,0.08,0.68
(3+7+8+)(0+1+3+6+),0.44,0.12,0.67
(3+7+8+)(6+7+9+),0.44,0.09,0.67
(6+7+8+)(0+1+3+6+),0.44,0.11,0.67
(6+7+8+)(6+7+9+),0.44,0.09,0.67
(2+4-)(5+8-),0.44,0.07,0.67
(1+7-),0.78,0.09,0.68
(2+4+)(4+6-),0.44,0.13,0.67
(2+4+)(5+8-)(6+7+9+),0.44,0.07,0.67
(2+4+)(0+1+3+6+),0.44,0.06,0.67
(2+5+7+)(6+7+9+),0.44,0.09,0.67
(2+5+7+)(0+1+3+6+),0.44,0.07,0.67
(3+6+7+8+),1.0,0.12,0.69
(1+3+8+)(6+7+9+),0.44,0.13,0.67
(1+3+8+)(0+1+3+6+),0.44,0.09,0.67
(2+3+6+7+8+),1.0,0.12,0.69
(4+)(5+8-)(6+7+9+),0.44,0.29,0.67
(4+)(4+6-),0.44,0.17,0.67
(4+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+7+)(4+6-),0.44,0.12,0.67
(1+7+)(5+8-)(6+7+9+),0.44,0.07,0.67
(1+7+)(0+1+3+6+),0.44,0.06,0.67
(0+3+5+8+),1.0,0.12,0.69
(2+5-),0.78,0.09,0.68
(2+4+7+)(6+7+9+),0.44,0.13,0.67
(2+4+7+)(0+1+3+6+),0.44,0.09,0.67
(0+2+3+)(6+7+9+),0.44,0.09,0.67
(0+2+3+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+4+6+)(6+7+9+),0.44,0.12,0.67
(1+4+6+)(0+1+3+6+),0.44,0.08,0.67
(5+)(5+8-)(6+7+9+),0.44,0.2,0.67
(5+)(4+6-),0.44,0.13,0.67
(5+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(0+1+6+)(6+7+9+),0.44,0.1,0.67
(0+1+6+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+3+9+)(6+7+9+),0.44,0.08,0.67
(1+3+9+)(0+1+3+6+),0.44,0.06,0.67
(2+5+)(4+6-),0.44,0.09,0.67
(2+5+)(5+8-)(6+7+9+),0.44,0.07,0.67
(2+5+)(0+1+3+6+),0.44,0.06,0.67
(1+8-)(5+8-),0.44,0.08,0.67
(1+3+4+6+8+),1.0,0.13,0.69
(1+8+)(4+6-),0.44,0.13,0.67
(1+8+)(5+8-)(6+7+9+),0.44,0.07,0.67
(1+8+)(0+1+3+6+),0.44,0.06,0.67
(2+6-),0.78,0.09,0.68
(2+4+8+)(6+7+9+),0.44,0.1,0.67
(2+4+8+)(0+1+3+6+),0.44,0.07,0.67
(3+7+8+9+),0.89,0.11,0.68
(6+)(5+8-)(6+7+9+),0.44,0.28,0.67
(6+)(4+6-),0.44,0.17,0.67
(6+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(0+2+4+),0.56,0.06,0.67
(1+4+7+)(6+7+9+),0.44,0.09,0.67
(1+4+7+)(0+1+3+6+),0.44,0.07,0.67
(1+9-)(4+6-),0.44,0.08,0.67
(1+9-)(5+8-)(6+7+9+),0.44,0.06,0.67
(1+9-)(0+1+3+6+),0.44,0.05,0.67
(1+3+4+6+9+),0.67,0.08,0.68
(2+6+)(4+6-),0.44,0.12,0.67
(2+6+)(5+8-)(6+7+9+),0.44,0.07,0.67
(2+6+)(0+1+3+6+),0.44,0.06,0.67
(1+9+)(4+6-),0.44,0.11,0.67
(1+9+)(5+8-)(6+7+9+),0.44,0.07,0.67
(1+9+)(0+1+3+6+),0.44,0.06,0.67
(2+3+8+)(6+7+9+),0.44,0.13,0.67
(2+3+8+)(0+1+3+6+),0.44,0.09,0.67
(7+)(5+8-)(6+7+9+),0.44,0.28,0.67
(7+)(4+6-),0.44,0.17,0.67
(7+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+4+8+)(6+7+9+),0.44,0.1,0.67
(1+4+8+)(0+1+3+6+),0.44,0.07,0.67
(3+4+)(4+6-),0.44,0.15,0.67
(3+4+)(5+8-)(6+7+9+),0.44,0.07,0.67
(3+4+)(0+1+3+6+),0.44,0.06,0.67
(2+7+)(4+6-),0.44,0.34,0.68
(2+7+)(5+8-)(6+7+9+),0.44,0.1,0.67
(2+7+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+3+4+8+),1.0,0.13,0.69
(3+8+9+)(0+1+3+6+),0.44,0.12,0.67
(3+8+9+)(6+7+9+),0.44,0.09,0.67
(3+5-)(5+8-),0.44,0.08,0.67
(3+5-)(0+1+3+6+),0.44,0.06,0.67
(2+3+9+)(6+7+9+),0.44,0.09,0.67
(2+3+9+)(0+1+3+6+),0.44,0.07,0.67
(2+4+6+)(6+7+9+),0.44,0.09,0.67
(2+4+6+)(0+1+3+6+),0.44,0.07,0.67
(1+4+9+)(6+7+9+),0.44,0.11,0.67
(1+4+9+)(0+1+3+6+),0.44,0.08,0.67
(1+5+6+)(6+7+9+),0.44,0.08,0.67
(1+5+6+)(0+1+3+6+),0.44,0.06,0.67
(8+)(5+8-)(6+7+9+),0.44,0.29,0.67
(8+)(4+6-),0.44,0.17,0.67
(8+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(0+1+5+)(6+7+9+),0.44,0.09,0.67
(0+1+5+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(3+6+8+9+),0.89,0.1,0.68
(3+5+)(4+6-),0.44,0.09,0.67
(3+5+)(5+8-)(6+7+9+),0.44,0.07,0.67
(3+5+)(0+1+3+6+),0.44,0.06,0.67
(1+3+4+9+),0.67,0.08,0.68
(2+8+)(4+6-),0.44,0.13,0.67
(2+8+)(5+8-)(6+7+9+),0.44,0.07,0.67
(2+8+)(0+1+3+6+),0.44,0.06,0.67
(4+8+9+)(0+1+3+6+),0.44,0.11,0.67
(4+8+9+)(6+7+9+),0.44,0.09,0.67
(2+3+6+)(6+7+9+),0.44,0.09,0.67
(2+3+6+)(0+1+3+6+),0.44,0.07,0.67
(2+4-7+),0.78,0.09,0.68
(9+)(5+8-)(6+7+9+),0.44,0.29,0.67
(9+)(4+6-),0.44,0.17,0.67
(9+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+2+3+8+),1.0,0.12,0.69
(0+3+4+)(6+7+9+),0.44,0.08,0.67
(0+3+4+)(0+1+3+6+),0.44,0.06,0.67
(0+4-5+),0.78,0.09,0.68
(0+2+7+)(6+7+9+),0.44,0.1,0.67
(0+2+7+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(3+6-)(5+8-),0.44,0.08,0.67
(5+6+8+)(0+1+3+6+),0.44,0.06,0.67
(1+3+6+8+),1.0,0.19,0.69
(2+9-)(5+8-),0.44,0.07,0.67
(3+6+)(4+6-),0.44,0.13,0.67
(3+6+)(5+8-)(6+7+9+),0.44,0.07,0.67
(3+6+)(0+1+3+6+),0.44,0.06,0.67
(2+9+)(4+6-),0.44,0.12,0.67
(2+9+)(5+8-)(6+7+9+),0.44,0.07,0.67
(2+9+)(0+1+3+6+),0.44,0.06,0.67
(3+5+8+)(0+1+3+6+),0.44,0.08,0.67
(3+5+8+)(6+7+9+),0.44,0.07,0.67
(2+3+7+)(6+7+9+),0.44,0.14,0.67
(2+3+7+)(0+1+3+6+),0.44,0.09,0.67
(3+4+8+9+),1.0,0.18,0.69
(1+2+4+6+),1.0,0.11,0.69
(2+6+7+8+),1.0,0.12,0.69
(0+3+5+)(6+7+9+),0.44,0.09,0.67
(0+3+5+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(5+6+7+)(0+1+3+6+),0.44,0.06,0.67
(5+6+7+)(6+7+9+),0.44,0.06,0.67
(1+3+6+9+),0.89,0.1,0.68
(3+7+)(4+6-),0.44,0.13,0.67
(3+7+)(5+8-)(6+7+9+),0.44,0.07,0.67
(3+7+)(0+1+3+6+),0.44,0.06,0.67
(2+3+4+)(6+7+9+),0.44,0.11,0.67
(2+3+4+)(0+1+3+6+),0.44,0.08,0.67
(1+2+4+7+),1.0,0.11,0.69
(4+5+)(4+6-),0.44,0.09,0.67
(4+5+)(5+8-)(6+7+9+),0.44,0.07,0.67
(4+5+)(0+1+3+6+),0.44,0.06,0.67
(4+5-)(4+6-),0.44,0.09,0.67
(4+5-)(5+8-)(6+7+9+),0.44,0.07,0.67
(4+5-)(0+1+3+6+),0.44,0.06,0.67
(0+2+5+)(6+7+9+),0.44,0.09,0.67
(0+2+5+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(3+8+)(4+6-),0.44,0.34,0.68
(3+8+)(5+8-)(6+7+9+),0.44,0.1,0.67
(3+8+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(3+4+9+)(0+1+3+6+),0.44,0.11,0.67
(3+4+9+)(6+7+9+),0.44,0.09,0.67
(2+3+4+8+),1.0,0.14,0.69
(3+4+7+8+9+),0.89,0.1,0.68
(4+6+)(5+8-)(6+7+9+),0.44,0.08,0.67
(4+6+)(0+1+3+6+),0.44,0.06,0.67
(4+6-)(5+8-)(6+7+9+),0.44,0.07,0.67
(4+6-)(0+1+3+6+),0.44,0.06,0.67
(1+6+7+)(6+7+9+),0.44,0.12,0.67
(1+6+7+)(0+1+3+6+),0.44,0.08,0.67
(1+6+8+9+),1.0,0.12,0.69
(1+3+6+7+),1.0,0.13,0.69
(2+3+4+7+),1.0,0.14,0.69
(3+9+)(4+6-),0.44,0.13,0.67
(3+9+)(5+8-)(6+7+9+),0.44,0.07,0.67
(3+9+)(0+1+3+6+),0.44,0.06,0.67
(3+4+8+)(0+1+3+6+),0.44,0.14,0.67
(3+4+8+)(6+7+9+),0.44,0.1,0.67
(6+7+9+)(0+1+3+6+),0.44,0.09,0.67
(3+4+7+9+),0.89,0.1,0.68
(4+7+)(5+8-)(6+7+9+),0.44,0.08,0.67
(4+7+)(0+1+3+6+),0.44,0.06,0.67
(4+7-)(5+8-)(6+7+9+),0.44,0.07,0.67
(4+7-)(0+1+3+6+),0.44,0.06,0.67
(0+4+5+)(6+7+9+),0.44,0.09,0.67
(0+4+5+)(0+1+3+6+),0.44,0.07,0.67
(1+6+8+)(6+7+9+),0.44,0.13,0.67
(1+6+8+)(0+1+3+6+),0.44,0.09,0.67
(0+3+8+)(6+7+9+),0.44,0.1,0.67
(0+3+8+)(0+1+3+6+),0.44,0.07,0.67
(3+6+9+)(0+1+3+6+),0.44,0.07,0.67
(3+6+9+)(6+7+9+),0.44,0.07,0.67
(3+4+7+8+),1.0,0.14,0.69
(1+2+3+4+),0.56,0.06,0.67
(4+8+)(5+8-)(6+7+9+),0.44,0.08,0.67
(4+8+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+2+4+6+7+),1.0,0.11,0.69
(1+6+9+)(6+7+9+),0.44,0.11,0.67
(1+6+9+)(0+1+3+6+),0.44,0.08,0.67
(3+6+8+)(0+1+3+6+),0.44,0.12,0.67
(3+6+8+)(6+7+9+),0.44,0.09,0.67
(2+3+4+9+),0.89,0.1,0.68
(2+6+7+9+),0.89,0.09,0.68
(4+9+)(5+8-)(6+7+9+),0.44,0.11,0.67
(4+9+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(5+6+)(5+8-)(6+7+9+),0.44,0.07,0.67
(5+6+)(0+1+3+6+),0.44,0.06,0.67
(5+6-),0.67,0.08,0.68
(3+6+7+)(0+1+3+6+),0.44,0.09,0.67
(3+6+7+)(6+7+9+),0.44,0.07,0.67
(6+8+9+)(0+1+3+6+),0.44,0.1,0.67
(4+7+8+9+),0.89,0.1,0.68
(1+2+3+6+),1.0,0.13,0.69
(5+7+)(5+8-)(6+7+9+),0.44,0.07,0.67
(5+7+)(0+1+3+6+),0.44,0.06,0.67
(1+2+3+7+),1.0,0.13,0.69
(0+2+5+7+),1.0,0.12,0.69
(1+7+8+)(6+7+9+),0.44,0.09,0.67
(1+7+8+)(0+1+3+6+),0.44,0.07,0.67
(5+7-),0.67,0.08,0.68
(0+3+7+),0.44,0.05,0.67
(1+3+7+8+),1.0,0.12,0.69
