1 1 6 5 4 5 5 5 4 3 5 5 4 5 5
1 2 7 7 6 7 7 6 5 6 6 5 6 7 7
1 3 6 5 6 6 6 1 7 1 6 6 7 6 6
1 4 6 5 5 6 6 5 6 5 6 6 5 5 6
1 5 5 4 4 6 3 4 5 5 5 4 5 5 6
1 6 6 6 6 6 4 6 6 6 6 6 5 6 4
1 7 5 6 5 4 6 3 4 5 5 6 5 5 5
1 8 4 4 5 4 4 4 3 5 4 4 5 5 5
1 9 6 4 5 5 6 4 5 1 6 5 5 5 6
1 10 4 4 4 4 4 4 4 4 4 4 4 4 4
1 11 5 5 4 6 4 5 6 5 5 5 4 4 4
1 12 7 6 6 6 6 5 6 7 6 5 6 6 6
1 13 5 4 5 4 3 4 5 5 5 3 5 4 6
1 14 6 5 7 7 6 5 6 5 6 6 7 7 5
1 15 4 5 5 5 5 5 4 5 4 4 5 5 5
1 16 6 4 5 4 4 4 5 5 6 4 6 4 6
1 17 5 3 6 5 3 5 5 6 6 5 5 3 3
1 18 7 6 7 7 5 6 6 6 6 5 7 7 6
1 19 6 5 5 5 3 4 6 6 6 5 7 6 1
1 20 6 5 6 5 6 6 6 6 6 7 6 6 6
1 21 6 5 5 6 5 4 5 5 5 5 6 6 6
1 22 5 3 4 2 4 4 4 2 4 4 5 4 2
1 23 4 4 5 5 5 6 5 5 5 6 5 4 4
1 24 5 5 6 6 6 4 6 4 6 5 6 6 5
2 1 6 6 5 5 5 4 5 6 5 5 4 5 6
2 2 7 6 7 7 7 6 7 7 7 7 7 7 6
2 3 7 5 4 5 5 4 6 1 5 5 4 5 5
2 4 6 6 6 4 6 6 5 4 4 5 2 6 4
2 5 6 5 5 7 6 6 5 6 5 6 5 5 5
2 6 4 4 2 4 3 6 3 4 3 5 2 2 4
2 7 5 5 5 5 6 6 5 5 6 6 5 6 5
2 8 5 6 6 5 6 5 5 6 5 6 6 6 6
2 9 6 6 5 6 6 4 6 1 6 6 2 3 6
2 10 5 5 5 5 5 5 5 5 5 5 5 5 5
2 11 5 5 5 5 6 5 5 4 6 6 5 4 4
2 12 6 6 6 5 6 5 6 6 6 6 6 5 5
2 13 6 4 5 4 5 4 4 5 6 4 2 6 2
2 14 6 1 7 5 7 4 7 5 7 5 5 5 4
2 15 4 4 5 4 5 5 4 5 5 4 5 4 4
2 16 6 3 5 4 6 4 5 4 5 4 2 6 5
2 17 6 6 7 5 5 4 6 6 6 5 7 7 6
2 18 5 5 6 7 7 7 6 6 7 7 3 3 5
2 19 7 5 7 7 6 5 7 7 6 6 5 7 5
2 20 2 4 4 3 5 5 4 4 5 5 5 4 4
2 21 6 6 6 5 5 4 6 5 5 5 5 5 6
2 22 4 3 3 4 5 4 5 2 4 5 3 2 2
2 23 5 4 4 4 6 4 7 4 6 7 5 3 4
3 1 7 7 7 7 7 7 7 7 7 7 7 7 7
3 2 7 7 7 6 6 7 7 7 7 7 7 7 6
3 3 6 5 5 5 6 1 7 1 6 4 5 7 7
3 4 5 4 4 4 4 4 3 4 5 5 6 5 5
3 5 5 1 5 1 5 4 5 3 6 6 5 2 4
3 6 6 6 4 6 6 6 6 4 6 6 4 4 6
3 7 5 5 5 2 6 3 4 5 6 4 5 5 4
3 8 4 4 4 4 5 5 4 4 5 6 4 5 5
3 9 6 1 5 1 4 4 7 1 7 4 5 6 5
3 10 7 7 7 7 7 7 7 7 7 7 7 7 7
3 11 5 6 6 4 6 5 6 4 6 6 6 6 4
3 12 6 6 6 6 6 6 6 7 6 6 6 6 6
3 13 6 6 6 5 5 5 5 6 5 5 6 6 6
3 14 7 2 5 2 7 4 7 1 7 6 7 7 6
3 15 4 5 5 2 6 6 5 6 5 6 5 5 6
3 16 5 5 5 5 5 5 5 5 5 5 5 5 5
3 17 6 6 6 5 6 6 6 5 6 6 6 6 6
3 18 6 4 5 4 7 6 6 4 7 5 7 7 5
3 19 7 5 7 6 6 6 6 7 7 7 7 7 6
3 20 6 6 6 6 6 7 6 6 7 7 6 6 6
3 21 6 6 6 3 5 4 6 5 5 5 6 6 6
3 22 4 5 4 3 6 5 7 4 5 6 7 5 3
3 23 6 6 4 2 6 5 5 3 7 5 6 4 6
4 1 6 6 6 6 6 6 6 6 6 6 6 6 6
4 2 6 7 7 6 7 6 7 7 7 7 6 6 7
4 3 7 7 6 6 6 1 7 1 6 6 6 7 6
4 4 7 6 7 7 6 6 6 5 6 6 5 7 6
4 5 7 7 7 7 7 7 5 7 7 7 7 7 7
4 6 4 4 6 4 6 3 4 4 6 3 6 4 4
4 7 5 5 5 5 6 6 5 5 6 6 5 5 5
4 8 7 7 7 7 7 7 7 7 7 7 7 7 7
4 9 7 7 7 5 7 6 7 6 7 7 5 6 7
4 10 7 7 7 7 7 7 7 7 7 7 7 7 7
4 11 5 7 7 5 4 4 5 7 4 6 6 7 6
4 12 6 5 6 6 5 5 6 6 5 6 6 6 5
4 13 7 7 7 7 7 7 7 7 7 7 7 7 7
4 14 7 1 7 1 7 2 7 1 7 7 7 7 5
4 15 4 4 4 4 4 4 4 4 4 4 4 5 4
4 16 7 7 7 7 7 7 7 7 7 7 7 7 7
4 17 6 6 6 5 6 6 6 6 6 6 6 6 6
4 18 7 7 7 7 7 7 7 7 7 7 7 7 7
4 19 7 5 7 7 7 1 7 7 7 7 7 7 3
4 20 4 4 6 4 6 3 4 4 6 5 6 6 4
4 21 6 6 6 6 5 4 6 1 5 5 6 6 6
4 22 6 6 5 5 6 6 6 6 6 5 4 4 5
4 23 6 6 6 4 5 6 7 6 6 7 6 6 4
5 1 6 4 5 3 6 6 4 2 6 6 5 4 4
5 2 6 7 6 3 6 6 5 4 6 7 7 7 4
5 3 5 5 6 1 5 1 6 1 5 5 6 6 1
5 4 5 7 6 4 7 6 5 5 6 4 3 5 6
