1 1998 2 50.22802 13801.9 4.81448 0.109238 0.39336 4.87294 6.852 0.072743 2.085861 19.5587 101.264 46.1218 2.40635 0.168912 0.127518 0.226059 0.489209 48.2092 7.27428 4.38289 3836.39 41 0.14 0.005674 44.385 1070 -31.6706 129.5 53 218.9 -84.5854 2731.97 2.73231 15000000 73.7344 65.164 40.6181 32.928 33091.2 0.084629
1 1999 2 52.6581 14187.7 4.93747 0.086419 0.328172 4.9628 6.824 0.046912 2.103268 20.6755 100.788 46.1218 2.40635 0.158025 0.120594 0.213784 0.471374 48.1091 4.69115 1.88663 3908.77 45 0.16 0.018454 45.192 1030 -27.0643 127.7 52.4 215.6 -83.8709 2858.61 2.71538 16000000 76.8198 65.18 42.1498 34.2835 35275.1 0.0390159
1 2000 2 48.8 14602 5.07966 0.093344 0.434757 4.92719 6.798 0.021815 2.057949 21.7709 100.161 46.0415 2.40635 0.19084 0.147865 0.262128 0.574084 48.009 2.18149 -0.672254 3882.49 16 0.17 0.071964 46.105 981 -27.0416 125.3 51.6 211.4 -84.0622 2824.7 2.83256 16000000 73.4108 64.49 43.6815 35.639 36119.4 0.0963066
1 2001 2 46.42846 15058.6 5.23513 0.087712 0.714373 4.92371 6.811 0.030546 2.080983 22.8434 99.4784 45.9613 2.40635 0.188677 0.149515 0.265054 0.580353 47.9089 3.05462 -0.024041 3881.56 23 0.18 0.105046 47.113 924 -28.5545 122.6 50.7 206.3 -83.0941 2996.28 3.03294 16000000 74.6182 64.393 45.2132 36.9945 34780.7 0.0790474
1 2002 2 47.33941 15562.8 5.40603 0.172281 0.596071 4.91381 6.825 0.0314 2.105556 20 99.5078 45.9613 2.40635 0.180565 0.146348 0.259439 0.573048 47.8088 4.206 0.878294 3915.65 32 0.19 0.136014 48.2 878 -29.7397 119.3 49.7 200.3 -82.7016 3065.84 3.24549 17000000 73.7579 64.483 46.745 38.35 34371.8 0.0577942
1 2003 2 47.17461 16109.7 5.57314 0.137432 0.567402 5.43673 6.938 0.1453 2.349204 24.9391 99.3469 46.0335 2.48656 0.203615 0.167563 0.297049 0.720769 47.7087 13.6657 9.85336 4301.47 35 0.2 0.270377 49.341 831 -28.8424 115.5 48.4 193.4 -82.2115 3152.7 3.41152 18000000 72.1251 64.427 48.2767 39.7054 34490.4 0.0583469
1 2004 2 45.46318 16691.4 5.76257 0.18311 0.639577 5.42041 6.833 0.033 2.309368 25.9745 99.0753 46.194 2.64699 0.138729 0.116442 0.206424 0.497975 47.6086 2.98985 -0.578597 4276.58 31 0.2 0.370682 50.508 789 -29.3185 111.3 47 185.7 -81.7637 3232.06 3.5263 18000000 67.3061 64.401 49.9353 41.2518 35858 0.199313
1 2005 2 43.84061 17295.5 5.95291 0.216325 0.717542 5.80404 6.898 0.109529 2.483521 27.0097 98.7428 46.194 2.64699 0.252286 0.217579 0.385715 0.996165 47.5085 10.9529 7.05747 4578.4 30 0.21 0.464815 51.676 749 -28.3247 106.6 45.6 177 -82.7173 3063.06 3.57396 19000000 65.4931 64.058 51.594 42.7982 36860.2 0.170653
1 2006 2 42.03767 17912.9 6.12279 0.182982 0.815078 6.4462 6.985 0.150289 2.755499 28.0507 98.374 46.194 2.64699 0.216592 0.192806 0.341797 0.97974 47.4084 15.0289 10.9883 5081.49 28 0.21 1.14337 52.833 705 -25.8329 101.8 43.9 167.8 -82.8046 3047.59 3.5759 20000000 70.9542 64.641 53.2527 44.3445 35855.7 0.147312
1 2007 2 40.49949 18541.5 6.29368 0.184609 0.836166 6.94684 7.011 0.115477 2.955942 29.1037 98.6938 46.194 2.64699 0.218962 0.200904 0.356153 1.09888 47.3083 11.5477 7.63981 5469.71 22 0.21 1.5 53.974 668 -24.7216 96.7 42.3 158.2 -80.7603 3409.91 3.56616 20000000 65.0226 65.67 54.9114 45.8909 36375.8 0.133274
