Model Variant,MAE,RMSE,Pearson,Training Time (s),Memory Usage (MB),Convergence Epoch
Full model,0.0061683752574026585,0.007920840194839811,0.9981647066440916,10085.80151128769,641.84375,14
Without WGS,0.012647191993892193,0.026082988578614765,0.9437574391962763,9371.430646896362,130.60546875,15
Without ACC,0.01856926828622818,0.02989674501279911,0.9851837811392369,9718.580911874771,-242.3125,14
Without numerical features,0.04889005050063133,0.0896180728941445,0.6867557616152428,9925.661246061325,-75.5859375,14
Without Transformer,0.0035623107105493546,0.004773426428400005,0.9997168447038941,12.345369100570679,0.58984375,13
